#####################################################################
# Alchemist log file - simulation started at: 2024-05-14T19:49+0000 #
#####################################################################
#
# Seed = 0.0, DeviceCount = 100, MinThreshold = 101.0, BehaviorInstructions = 290500000
#
# The columns have the following meaning: 
# time IsMoving[mean] IsMoving[sum] SmartphoneCurrentCapacity[mean] WearableCurrentCapacity[mean] SmartphoneCharging[mean] SmartphoneCharging[sum] WearableCharging[mean] WearableCharging[sum] SmartphoneComponentsTime[mean] SmartphoneComponentsTime[sum] WearableComponentsTime[mean] WearableComponentsTime[sum] CloudComponentsTime[mean] CloudComponentsTime[sum] 
0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0
0.0011337332612453288 1.0 1.0 1562.0289673018162 NaN 0.0 0.0 NaN 0.0 0.0022674665224906576 0.0022674665224906576 0.0 0.0 NaN 0.0
60.00113373326124 1.0 100.0 2095.956005156527 153.71480923539352 0.0 0.0 0.0 0.0 117.2142762890507 11721.427628905069 1.7876170564291356 178.76170564291334 5988.1465030978015 5988.1465030978015
120.00113373326124 1.0 100.0 2093.490767999206 153.68767422513358 0.0 0.0 0.0 0.0 235.4142762890507 23541.42762890507 3.58761705642913 358.76170564291334 11988.146503097802 11988.146503097802
180.00113373326124 1.0 100.0 2091.0254390825535 153.6605407918577 0.0 0.0 0.0 0.0 353.6142762890507 35361.42762890506 5.387617056429139 538.7617056429133 17988.146503097803 17988.146503097803
240.00113373326124 1.0 100.0 2088.5601791014283 153.6334080141198 0.0 0.0 0.0 0.0 471.8142762890507 47181.427628905054 7.187617056429133 718.7617056429133 23988.146503097803 23988.146503097803
300.0011337332612 1.0 100.0 2086.0948555270866 153.6062775033102 0.0 0.0 0.0 0.0 590.0142762890507 59001.427628905054 8.987617056429126 898.7617056429133 29988.146503097803 29988.146503097803
360.0011337332612 1.0 100.0 2083.6295465967496 153.57914360004472 0.0 0.0 0.0 0.0 708.2142762890508 70821.42762890506 10.787617056429134 1078.7617056429133 35988.1465030978 35988.1465030978
420.0011337332612 1.0 100.0 2081.164259331305 153.55200893366603 0.0 0.0 0.0 0.0 826.4142762890507 82641.42762890508 12.587617056429124 1258.7617056429133 41988.1465030978 41988.1465030978
480.0011337332612 1.0 100.0 2078.6989436621566 153.524872769152 0.0 0.0 0.0 0.0 944.6142762890507 94461.4276289051 14.387617056429141 1438.7617056429133 47988.1465030978 47988.1465030978
540.0011337332612 1.0 100.0 2076.2336449012273 153.49774569089885 0.0 0.0 0.0 0.0 1062.8142762890507 106281.4276289051 16.187617056429104 1618.7617056429133 53988.14650309779 53988.14650309779
600.0011337332612 1.0 100.0 2073.768336354819 153.4706163735141 0.0 0.0 0.0 0.0 1181.0142762890507 118101.42762890512 17.987617056429126 1798.7617056429133 59988.14650309779 59988.14650309779
660.0011337332612 1.0 100.0 2071.3030710944527 153.4434865882421 0.0 0.0 0.0 0.0 1299.2142762890508 129921.42762890512 19.787617056429152 1978.7617056429133 65988.14650309779 65988.14650309779
720.0011337332612 1.0 100.0 2068.8377586674196 153.4163561002651 0.0 0.0 0.0 0.0 1417.4142762890508 141741.42762890508 21.587617056429146 2158.7617056429135 71988.14650309779 71988.14650309779
780.0011337332612 1.0 100.0 2066.3725638500327 153.3892191437065 0.0 0.0 0.0 0.0 1535.6142762890506 153561.4276289051 23.387617056429107 2338.7617056429135 77988.14650309779 77988.14650309779
840.0011337332612 1.0 100.0 2063.9073199248587 153.36208207387514 0.0 0.0 0.0 0.0 1653.8142762890507 165381.42762890508 25.1876170564291 2518.7617056429135 83988.14650309779 83988.14650309779
900.0011337332612 1.0 100.0 2061.4419695559786 153.33494982925532 0.0 0.0 0.0 0.0 1772.0142762890507 177201.42762890505 26.987617056429126 2698.7617056429135 89988.14650309779 89988.14650309779
960.0011337332612 1.0 100.0 2058.976651936959 153.30781948892113 0.0 0.0 0.0 0.0 1890.2142762890508 189021.42762890505 28.787617056429152 2878.7617056429135 95988.14650309779 95988.14650309779
1020.0011337332612 1.0 100.0 2056.5114178732165 153.2806874192752 0.0 0.0 0.0 0.0 2008.4142762890508 200841.42762890505 30.587617056429156 3058.7617056429135 101988.14650309779 101988.14650309779
1080.0011337332612 1.0 100.0 2054.046121107403 153.25355373300195 0.0 0.0 0.0 0.0 2126.614276289051 212661.42762890505 32.3876170564291 3238.7617056429135 107988.14650309779 107988.14650309779
1140.0011337332612 1.0 100.0 2051.580826856325 153.2264226787253 0.0 0.0 0.0 0.0 2244.8142762890507 224481.42762890508 34.18761705642909 3418.7617056429135 113988.14650309779 113988.14650309779
1200.0011337332612 1.0 100.0 2049.1155081626357 153.19929028426063 0.0 0.0 0.0 0.0 2363.014276289051 236301.42762890508 35.98761705642916 3598.7617056429135 119988.14650309779 119988.14650309779
1260.0011337332612 1.0 100.0 2046.6503201286557 153.1721545982079 0.0 0.0 0.0 0.0 2481.2142762890508 248121.42762890505 37.787617056429156 3778.7617056429135 125988.14650309779 125988.14650309779
1320.0011337332612 1.0 100.0 2044.1850832576654 153.1450250122672 0.0 0.0 0.0 0.0 2599.4142762890506 259941.42762890502 39.58761705642913 3958.7617056429135 131988.14650309779 131988.14650309779
1380.0011337332612 1.0 100.0 2041.7198181838044 153.1178992919121 0.0 0.0 0.0 0.0 2717.614276289051 271761.42762890505 41.38761705642913 4138.7617056429135 137988.14650309779 137988.14650309779
1440.0011337332612 1.0 100.0 2039.2545613408456 153.0907664842527 0.0 0.0 0.0 0.0 2835.8142762890507 283581.42762890505 43.18761705642909 4318.7617056429135 143988.14650309779 143988.14650309779
1500.0011337332612 1.0 100.0 2036.7892153778068 153.06364015057153 0.0 0.0 0.0 0.0 2954.014276289051 295401.4276289051 44.987617056429194 4498.7617056429135 149988.14650309779 149988.14650309779
1560.0011337332612 1.0 100.0 2034.323827242083 153.03650208798666 0.0 0.0 0.0 0.0 3072.2142762890508 307221.4276289051 46.787617056429156 4678.7617056429135 155988.14650309779 155988.14650309779
1620.0011337332612 1.0 100.0 2031.8585365131923 153.00936983450978 0.0 0.0 0.0 0.0 3190.4142762890506 319041.4276289051 48.587617056429096 4858.7617056429135 161988.14650309779 161988.14650309779
1680.0011337332612 1.0 100.0 2029.3932596530774 152.98223638275454 0.0 0.0 0.0 0.0 3308.614276289051 330861.42762890505 50.387617056429164 5038.7617056429135 167988.14650309779 167988.14650309779
1740.0011337332612 1.0 100.0 2026.9279672383432 152.95510669499822 0.0 0.0 0.0 0.0 3426.8142762890507 342681.42762890516 52.18761705642909 5218.7617056429135 173988.14650309779 173988.14650309779
1800.0011337332612 1.0 100.0 2024.4626431118595 152.92796921507653 0.0 0.0 0.0 0.0 3545.014276289051 354501.42762890516 53.98761705642923 5398.7617056429135 179988.14650309779 179988.14650309779
1860.0011337332612 1.0 100.0 2021.9973857105138 152.90083378754116 0.0 0.0 0.0 0.0 3663.2142762890508 366321.4276289051 55.78761705642916 5578.7617056429135 185988.14650309779 185988.14650309779
1920.0011337332612 1.0 100.0 2019.5322022668986 152.87370234424455 0.0 0.0 0.0 0.0 3781.4142762890506 378141.4276289051 57.58761705642908 5758.7617056429135 191988.14650309779 191988.14650309779
1980.0011337332612 1.0 100.0 2017.0668854454127 152.84657554685631 0.0 0.0 0.0 0.0 3899.614276289051 389961.4276289051 59.387617056429164 5938.7617056429135 197988.14650309779 197988.14650309779
2040.0011337332612 1.0 100.0 2014.6016432629779 152.81944063229577 0.0 0.0 0.0 0.0 4017.8142762890507 401781.4276289051 61.18761705642909 6118.7617056429135 203988.14650309779 203988.14650309779
2100.001133733261 1.0 100.0 2012.1363836769378 152.79231142071984 0.0 0.0 0.0 0.0 4136.014276289051 413601.4276289052 62.98761705642922 6298.7617056429135 209988.14650309776 209988.14650309776
2160.001133733261 1.0 100.0 2009.6711117948794 152.765177147375 0.0 0.0 0.0 0.0 4254.214276289051 425421.4276289051 64.78761705642913 6478.7617056429135 215988.14650309776 215988.14650309776
2220.001133733261 1.0 100.0 2007.2057986275329 152.73804872981862 0.0 0.0 0.0 0.0 4372.414276289051 437241.4276289052 66.58761705642911 6658.7617056429135 221988.14650309776 221988.14650309776
2280.001133733261 1.0 100.0 2004.7405237238074 152.71091593482635 0.0 0.0 0.0 0.0 4490.61427628905 449061.4276289052 68.38761705642919 6838.7617056429135 227988.14650309776 227988.14650309776
2340.001133733261 1.0 100.0 2002.2751733495395 152.68378781921376 0.0 0.0 0.0 0.0 4608.814276289051 460881.4276289051 70.18761705642909 7018.7617056429135 233988.14650309776 233988.14650309776
2400.001133733261 1.0 100.0 1999.8099163234401 152.65665361033993 0.0 0.0 0.0 0.0 4727.014276289051 472701.4276289051 71.98761705642919 7198.7617056429135 239988.14650309776 239988.14650309776
2460.001133733261 1.0 100.0 1997.3446423144114 152.6295260373523 0.0 0.0 0.0 0.0 4845.214276289051 484521.4276289052 73.7876170564291 7378.7617056429135 245988.14650309776 245988.14650309776
2520.001133733261 1.0 100.0 1994.8793395464834 152.60239570192255 0.0 0.0 0.0 0.0 4963.414276289051 496341.4276289052 75.58761705642914 7558.7617056429135 251988.14650309776 251988.14650309776
